Make,Model,Vehicle Class,Transmission,Fuel Type,Engine Size(L),Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km)
0,1057,0,14,4,0.14666666666666667,0.2,196.0
0,1057,0,25,4,0.2,0.25,221.0
0,1058,0,22,4,0.08000000000000002,0.08181818181818185,136.0
0,1233,11,15,4,0.3466666666666667,0.3181818181818182,255.0
0,1499,11,15,4,0.3466666666666667,0.29545454545454547,244.0
0,1510,2,15,4,0.3466666666666667,0.26818181818181824,230.0
0,1778,2,15,4,0.3466666666666667,0.27272727272727276,232.0
0,1779,2,15,4,0.37333333333333335,0.3181818181818182,255.0
0,1779,2,25,4,0.37333333333333335,0.3409090909090909,267.0
0,1803,0,14,4,0.2,0.2318181818181818,212.0
0,1803,0,25,4,0.2,0.25909090909090915,225.0
0,1803,0,14,4,0.3466666666666667,0.28636363636363643,239.0
1,113,13,8,4,0.12,0.1954545454545455,193.0
2,708,3,3,4,0.6666666666666667,0.5227272727272727,359.0
2,1484,10,3,4,0.6666666666666667,0.5227272727272727,359.0
2,1866,13,9,4,0.5066666666666667,0.48181818181818187,338.0
2,1866,13,25,4,0.5066666666666667,0.5136363636363637,354.0
2,1867,13,9,4,0.5066666666666667,0.48181818181818187,338.0
2,1867,13,25,4,0.5066666666666667,0.5136363636363637,354.0
2,1872,3,3,4,0.6666666666666667,0.5227272727272727,359.0
3,234,0,23,4,0.14666666666666667,0.21363636363636368,202.0
3,236,0,17,4,0.14666666666666667,0.26818181818181824,230.0
3,236,0,25,4,0.14666666666666667,0.23636363636363644,214.0
3,240,10,17,4,0.14666666666666667,0.26818181818181824,230.0
3,242,10,17,4,0.14666666666666667,0.26818181818181824,230.0
3,242,10,25,4,0.14666666666666667,0.23636363636363644,214.0
3,246,2,17,4,0.14666666666666667,0.2772727272727273,235.0
3,246,2,17,4,0.28,0.30909090909090914,251.0
3,247,2,17,0,0.28,0.18181818181818182,217.0
3,250,2,17,4,0.28,0.3227272727272727,262.0
3,251,2,17,0,0.28,0.18181818181818182,217.0
3,253,2,17,4,0.28,0.3227272727272727,258.0
3,253,2,17,4,0.41333333333333333,0.3272727272727273,265.0
3,256,2,17,0,0.28,0.1954545454545455,224.0
3,257,1,17,4,0.28,0.3227272727272727,258.0
3,257,1,17,4,0.41333333333333333,0.3818181818181819,288.0
3,257,1,17,4,0.7133333333333334,0.5181818181818183,363.0
3,259,1,17,0,0.28,0.1954545454545455,224.0
3,272,9,17,4,0.14666666666666667,0.29090909090909095,242.0
3,1409,11,17,4,0.14666666666666667,0.28636363636363643,239.0
3,1409,11,17,4,0.28,0.3227272727272727,258.0
3,1414,11,17,0,0.28,0.22272727272727277,244.0
3,1410,11,17,4,0.14666666666666667,0.2318181818181818,212.0
3,1432,12,17,4,0.28,0.41363636363636364,304.0
3,1433,12,17,0,0.28,0.3,290.0
3,1458,13,4,4,0.44000000000000006,0.47727272727272735,336.0
3,1458,13,25,4,0.44000000000000006,0.6181818181818182,407.0
3,1458,13,4,4,0.5733333333333334,0.4863636363636364,347.0
3,1458,13,25,4,0.5733333333333334,0.6227272727272728,409.0
3,1461,13,4,4,0.44000000000000006,0.47727272727272735,336.0
